org_name,city,street,longitude,latitude,receipt_price
SLOVNAFT,Leopoldov,Nádražná,17.7705542,48.4356702,76.35
CARDIF,Zvolen,Lučenecká cesta,19.1420581,48.5669154,75.99
APLEND,Bratislava,Zelená,17.1072165,48.1429081,75.6
SLOVNAFT,Bratislava,Dolnozemská,17.1225074,48.1060697,74.93
OMV,Bratislava,Pri Seči,17.1205813,48.1313825,72.6
Cipele,Bratislava,Nevädzova,17.1578252,48.1517881,72.0
Martinus,Bratislava,Mlynské Nivy,17.1236678,48.1466793,71.89
BILLA,Bratislava,Nám. Hraničiarov,17.1152055,48.122348,71.55
Liasam,Bratislava,Mlynské nivy,17.1301738,48.1467213,69.8
Gastro Eurovea,Bratislava,Pribinova,17.1222714,48.1402678,69.17
Brandbq,Bratislava,Einsteinova,17.1095327,48.132256,66.94999999999999
Apetita,Bratislava,Zuzany Chalupovej,17.1183939,48.0930972,66.0
Xuan Duc Do -DHY,Štefanov,Štefanov,17.1999634,48.6774796,65.76
Lekáreň ŠUSTEKOVA,Bratislava,Šustekova,17.1238322,48.1284631,64.42
dm drogerie markt,Bratislava,Miletičova,17.1343927,48.1544159,61.7
DH Gastronomy,Bratislava,Mlynské Nivy,17.1569959,48.1438871,60.85
OBI,Bratislava,HODONÍNSKA,17.0402526,48.2070061,60.73
BAL TIP,Šaštín,NÁMESTIE SLOBODY,17.1544052,48.6368933,59.4
VLR,Bratislava,Mýtna,17.1190075,48.1566748,59.22
Bc Mgr Mária Hromkovičová,Borský Svätý Jur,SNP,17.0443689,48.6115909,58.9
Quintela Gastro,Bratislava,Miletičova,17.1381492,48.153069,58.0
H & M Hennes & Mauritz,Bratislava,Ivánska cesta,17.1797154,48.1663498,57.95
BILLA,Bernolákovo,Slnečnicová,17.2916475,48.1939128,54.53
R&M Košice,Košice,Bočná,21.2570701,48.7190275,54.5
WAD,Bratislava,Karpatská,17.1134874,48.1577234,54.4
WADART,Bratislava,Karpatská,17.1134396,48.1576593,54.1
TERNO real estate,Bratislava,Nevädzová,17.1578252,48.1517881,54.08
Quang Minh Vu podnik zahraničnej osoby,Bratislava,Dulovo námestie,17.1335007,48.1491474,53.65
FITNESS PROGRES,Bratislava,Zuzany Chalupovej,17.1183939,48.0930972,53.400000000000006
Daniel Kapusta,Banská Bystrica,Kapitulská,19.1476825,48.7349992,52.25
Tibor Varga TSV Papier,Bratislava,Pribinova,17.1230498,48.1402009,51.31
ALNIST,Bratislava,Dulovo námestie,17.1333134,48.1497908,50.81
BENU 151,Bratislava,Metodova,17.1297657,48.1576095,50.56
LEMBERG GROUP,Banská Štiavnica,Andreja Kmeťa,18.8948388,48.4586625,50.0
DEICHMANN-OBUV,Bratislava,Mlynske nivy,17.1300312,48.1462159,49.99
OBI,Bratislava,BAJKALSKÁ,17.1501055,48.1435984,49.96
TEDi Betriebs,Bratislava,Metodova,17.1295242,48.1570204,49.35
Tesco Franchise Stores,Bratislava,Mliekarenská,17.1419614,48.1517735,48.47
Inditex,Bratislava,Mlynské nivy,17.1236678,48.1466793,46.8
ADJ,Bratislava,Račianske mýto,17.1205025,48.1589729,45.199999999999996
TESCO STORES,Bratislava,Panónska cesta,17.0967045,48.1040351,44.05
decoLED,Prešov,Ľ. Podjavorinskej,21.2644382,48.9789878,44.0
Bytservis - UB,Šaštín,Zápotočná,17.1526511,48.6359322,43.76
BUPPI,Bratislava,Lamač,17.0337808,48.2057363,43.7
Eva Ladzianska - F O T,Bratislava,Miletičova,17.1357295,48.1544523,43.010000000000005
JUMP Park Senica,Senica,Železničná,17.337858,48.6679216,42.0
Dráčik DIVI,Bratislava,Pribinova,17.1230498,48.1402009,41.57
EU POLYMER LTD,Bratislava,Mlynské nivy,17.1286972,48.1468397,40.62
CORK GROUP,Bratislava,Panská,17.108145,48.142793,39.3
PAG investment,Bratislava,Drobného,17.0396406,48.1931812,39.0
Emília Pulišová - Salaš Hron Milan Puliš - právny nástupca,Kováčová,Bystrická,19.1036706,48.5968876,38.1
M K M TRADING,Modra,Šturova,17.311762,48.3341131,38.0
Lindex,Bratislava,Mlynské Nivy,17.1236678,48.1466793,37.97
i-kafe,Modra,Štúrova,17.310648,48.3360336,37.5
Centrum zdravého tela a duše,Bratislava,Mlynské Nivy,17.1300312,48.1462159,36.98
BILLA,Bratislava,Karadžičova,17.1259582,48.1502838,36.54
Tiger Stores,Bratislava,Mlynské Nivy,17.1272274,48.1458877,35.5
Pirex,Bratislava,Mlynské nivy,17.1300312,48.1462159,35.5
TESCO STORES,Bratislava,Martinčekova,17.1482882,48.1497015,34.93
Melange,Bratislava,Košická,17.1345648,48.1502978,34.900000000000006
Divná pani,Banská Štiavnica,Andreja Kmeťa,18.8943772,48.4587426,34.0
Majolika-R,Bratislava,Mlynské Nivy,17.1272274,48.1458877,33.95
3S DENT,Bratislava,Šancová,17.1248604,48.1575286,33.0
BORARI,Bratislava,Záhradnícka,17.4857864,48.1831471,32.45
VENGA,Bratislava,Trenčianska,17.1391596,48.1525516,32.0
Slovenské národné divadlo,Bratislava,Pribinova,17.1235003,48.1413643,31.5
EDO-KIN GROUP,Bratislava,Námestie Mateja Korvína,17.119301,48.1560734,31.0
Dráčik DIVI,Bratislava,Metodova,17.1295242,48.1570204,30.48
TERNO real estate,Bratislava,Einsteinova,17.1095327,48.132256,30.46
ZABEZ,Štefanov,Štefanov,17.2000271,48.6773965,30.060000000000002
SLOVNAFT,Modra,Štefánikova,17.3048629,48.3300585,30.02
CCC,Bratislava,Pribinova,17.1230498,48.1402009,29.99
Lidl,Bratislava,Dunajská,17.1140239,48.1443505,29.56
PivRest,Bratislava,Legionárska,17.1229728,48.1561832,29.07
ZLATÝ SHANGHAI,Bratislava,Ivanská cesta,17.1803977,48.1653268,28.26
Oľga Bízková,Šaštín,Hollého,17.1543517,48.6374744,28.0
DENBEN,Bratislava,Košická,17.1356337,48.1509741,27.900000000000002
ARW,Bratislava,Bazová,17.1303065,48.1524143,27.9
PIENSPOL TRAVEL,Červený Kláštor,Červený Kláštor,20.4171628,49.3989028,26.700000000000003
C & A Mode,Bratislava,Metodova,17.1295242,48.1570204,25.97
